| sim_libid | ra         | decl       |
|       321 |          0 | -61.126862 |
|       446 |          0 | -56.071083 |
|       581 |          0 | -50.872864 |
|       744 |          0 | -45.524532 |
|       927 |          0 | -40.051697 |
|      1134 |          0 | -34.503117 |
|      1351 |          0 | -28.931789 |
|      1581 |          0 | -23.383266 |
|      1819 |          0 | -17.910431 |
|      2061 |          0 | -12.561985 |
|      2304 |          0 |  -7.363883 |
|      2536 |          0 |  -2.308046 |
|      2762 |          0 |   2.635033 |
|      1940 |   1.524125 | -15.207618 |
|      1702 |   1.531344 | -20.622986 |
|      2184 |   1.538334 |  -9.933713 |
|      2426 |   1.560107 |  -4.809408 |
|      1474 |   1.573228 |  -26.14057 |
|      2656 |   1.582853 |   0.187414 |
|      1247 |   1.657567 | -31.706739 |
|      1032 |   1.774794 | -37.272568 |
|       841 |   1.953099 | -42.788605 |
|       664 |   2.206862 |  -48.20105 |
|       521 |   2.546167 | -53.470539 |
|       386 |   2.983907 | -58.589172 |
|      1825 |   3.047734 | -17.866943 |
|      2067 |   3.058792 | -12.520789 |
|      1591 |   3.093628 | -23.339149 |
|      2316 |   3.097353 |  -7.323661 |
|      2544 |   3.141986 |  -2.264673 |
|      2770 |    3.18725 |   2.688031 |
|      1359 |    3.21882 | -28.888647 |
|      1146 |   3.418324 | -34.460377 |
|       941 |   3.709157 | -40.006149 |
|       752 |   4.137958 | -45.469585 |
|      1950 |   4.571516 | -15.123565 |
|      1716 |   4.591225 | -20.535267 |
|      2202 |   4.614144 |  -9.854187 |
|      2428 |   4.677971 |  -4.728621 |
|      1484 |   4.714927 | -26.053423 |
|       601 |   4.727819 | -50.801189 |
|      2658 |   4.743689 |   0.279718 |
|      1261 |   4.967028 |  -31.62114 |
|      1044 |   5.318481 | -37.185707 |
|       448 |   5.496441 | -55.978321 |
|       851 |    5.85328 | -42.689709 |
|      1841 |   6.092604 | -17.738773 |
|      2085 |   6.117012 | -12.400583 |
|      1607 |   6.179865 | -23.208227 |
|      2320 |   6.192299 |  -7.207752 |
|      2556 |    6.27744 |  -2.140971 |
|      1379 |   6.426982 | -28.759789 |
|       331 |    6.48869 | -61.010952 |
|       674 |   6.612735 | -48.075283 |
|      1156 |   6.824672 | -34.332432 |
|       951 |   7.406568 | -39.869095 |
|      1974 |    7.61776 | -14.960787 |
|       527 |   7.622172 | -53.306046 |
|      1734 |   7.644059 | -20.363379 |
|      2212 |   7.688979 |  -9.702295 |
|      2440 |   7.790221 |  -4.576959 |
|      1494 |   7.843162 |  -25.88102 |
|      2670 |   7.892093 |   0.449543 |
|      1267 |   8.259989 | -31.450914 |
|       764 |   8.263427 | -45.302799 |
|      1056 |   8.844578 | -37.011757 |
|       396 |   8.918432 | -58.380329 |
|      1861 |   9.133864 | -17.532394 |
|      2106 |   9.175862 | -12.210304 |
|      1621 |   9.252867 | -22.993999 |
|      2330 |   9.284437 |  -7.027614 |
|      2564 |   9.402868 |  -1.953156 |
|       611 |   9.433693 | -50.583351 |
|      1387 |   9.615149 | -28.547394 |
|       863 |   9.736444 | -42.489864 |
|      1166 |  10.208446 | -34.120152 |
|      1996 |  10.665323 | -14.729255 |
|      1746 |  10.688298 | -20.113398 |
|      2226 |  10.765132 |  -9.490759 |
|      2450 |  10.896683 |   -4.37035 |
|       458 |  10.946129 | -55.697227 |
|      1514 |   10.95077 | -25.626682 |
|       692 |  10.995404 | -47.819229 |
|      2682 |  11.025541 |   0.674371 |
|       967 |  11.081749 | -39.639111 |
|      1279 |  11.526994 | -31.197781 |
|      1873 |  12.174494 | -17.257202 |
|      2108 |   12.24004 | -11.963072 |
|      1641 |  12.309597 | -22.701847 |
|      1074 |  12.343115 | -36.750774 |
|       784 |  12.364945 | -45.019127 |
|      2346 |  12.376748 |  -6.798832 |
|      2572 |  12.518899 |  -1.720993 |
|       537 |  12.650106 | -52.971725 |
|      1397 |  12.775297 |  -28.25421 |
|       349 |  12.885592 | -60.660992 |
|      1182 |  13.560192 | -33.824677 |
|       880 |  13.593481 | -42.184532 |
|      2006 |   13.72062 | -14.441459 |
|      1764 |  13.726407 |   -19.7934 |
|      2234 |  13.847874 |  -9.234647 |
|      2464 |  14.000969 |  -4.126729 |
|      1524 |  14.033112 | -25.294598 |
|       617 |   14.09608 | -50.212246 |
|      2692 |  14.145755 |   0.931457 |
|       979 |   14.72662 | -39.313728 |
|       416 |  14.754179 | -57.958061 |
|      1299 |  14.760481 | -30.864147 |
|      1894 |    15.2224 | -16.924887 |
|      2122 |   15.31711 | -11.673499 |
|       706 |  15.340716 | -47.424461 |
|      1651 |  15.351258 |  -22.33802 |
|      2352 |  15.474788 |  -6.538079 |
|      2584 |  15.629888 |  -1.464079 |
|      1086 |  15.806244 | -36.402588 |
|      1421 |  15.901756 | -27.883507 |
|       482 |  16.303114 | -55.221386 |
|       796 |  16.433289 | -44.610264 |
|      1786 |  16.766865 | -19.413815 |
|      2014 |  16.793795 | -14.112409 |
|      1196 |  16.872805 |  -33.44796 |
|      2244 |  16.944826 |  -8.950002 |
|      1544 |  17.088867 | -24.889288 |
|      2470 |  17.108864 |  -3.863741 |
|      2706 |  17.258577 |   1.199544 |
|       883 |  17.418203 | -41.767422 |
|       557 |  17.598513 | -52.459099 |
|      1307 |  17.955236 | -30.452707 |
|      1900 |  18.290646 |  -16.55023 |
|       983 |  18.336426 | -38.889282 |
|      1671 |  18.384668 | -21.910364 |
|      2136 |  18.416813 | -11.358201 |
|      2362 |  18.585777 |  -6.262085 |
|       637 |  18.694122 | -49.677334 |
|      2596 |  18.741449 |  -1.199487 |
|      1429 |  18.990858 |  -27.43895 |
|       361 |  19.103443 |  -60.07222 |
|      1088 |   19.22938 | -35.966854 |
|       718 |  19.635607 | -46.879463 |
|      1796 |  19.825371 | -18.988165 |
|      2018 |   19.89785 |  -13.75941 |
|      2256 |  20.064466 |  -8.654241 |
|      1560 |  20.120903 | -24.415852 |
|      1216 |  20.141129 | -32.991997 |
|      2484 |  20.225811 |  -3.595711 |
|      2712 |  20.370138 |   1.464079 |
|       420 |  20.429611 | -57.316635 |
|       810 |  20.461813 | -44.064865 |
|      1329 |  21.107937 | -29.966267 |
|       907 |  21.208319 |  -41.22821 |
|      1916 |  21.396994 | -16.152023 |
|      1682 |  21.425928 | -21.430054 |
|       496 |  21.524248 | -54.543175 |
|      2144 |  21.549629 | -11.035855 |
|      2374 |  21.714584 |  -5.984258 |
|      2604 |  21.854216 |    -0.9314 |
|      1009 |  21.911053 | -38.359009 |
|      1451 |  22.040884 | -26.923689 |
|       571 |  22.436855 | -51.758312 |
|      1114 |  22.611437 | -35.441624 |
|      1804 |  22.926332 | -18.536674 |
|      2032 |  23.046597 | -13.403889 |
|      1572 |  23.140104 | -23.881338 |
|       649 |  23.207083 | -48.966518 |
|      2262 |  23.211323 |  -8.360543 |
|      2488 |  23.346197 |   -3.31754 |
|      1224 |   23.36224 | -32.459148 |
|      2726 |  23.481071 |   1.721051 |
|       730 |  23.867245 |   -46.1698 |
|       312 |  24.055405 | -62.021133 |
|      1337 |  24.217207 | -29.407574 |
|       818 |  24.444843 | -43.366547 |
|      1694 |  24.505749 | -20.916912 |
|      1922 |  24.561497 | -15.756282 |
|      2154 |  24.720148 |  -10.72153 |
|      2386 |  24.848663 |  -5.689987 |
|       921 |   24.96509 | -40.550571 |
|      2610 |  24.974485 |  -0.674371 |
|      1466 |   25.05298 | -26.341448 |
|       370 |  25.065872 | -59.242233 |
|      1019 |  25.456228 | -37.709217 |
|       439 |   25.89053 |  -56.45187 |
|      1124 |  25.957739 | -34.820019 |
|      1814 |  26.101494 | -18.092175 |
|      1601 |  26.175406 | -23.300648 |
|      2046 |  26.246052 | -13.065042 |
|      2272 |  26.364481 |  -8.045531 |
|      2504 |  26.481766 |  -3.055527 |
|      1230 |  26.535738 |  -31.85038 |
|       511 |  26.570059 | -53.656067 |
|      2732 |  26.597101 |   1.953156 |
|       589 |  27.136026 | -50.859859 |
|      1369 |  27.285225 | -28.778582 |
|       684 |  27.613071 | -48.066631 |
|      1722 |  27.675638 | -20.411678 |
|      1932 |  27.794813 | -15.390047 |
|      2166 |  27.897545 | -10.381709 |
|      2392 |   28.00526 |  -5.419894 |
|       772 |  28.020729 | -45.277931 |
|      1498 |  28.035799 | -25.698303 |
|      2618 |  28.107821 |    -0.4496 |
|       861 |  28.375219 | -42.492725 |
|       961 |  28.690746 | -39.706947 |
|      1062 |  28.984159 | -36.910057 |
|      1168 |  29.284618 | -34.079128 |
|      1623 |   29.30043 | -22.717146 |
|      1843 |   29.37314 | -17.696432 |
|      2048 |  29.452265 | -12.697604 |
|      2284 |  29.547834 |  -7.766615 |
|      2508 |  29.637674 |  -2.836485 |
|      1289 |  29.666437 | -31.161858 |
|      2746 |  29.722528 |   2.141029 |
|       333 |  30.247015 | -60.981216 |
|      1411 |  30.323505 |    -28.079 |
|       404 |  30.712257 | -58.173149 |
|      1754 |  30.989626 | -19.985971 |
|      1962 |  31.034086 | -14.992759 |
|      1532 |  31.038155 | -25.018776 |
|       474 |  31.092184 | -55.362907 |
|      2172 |  31.113384 | -10.097006 |
|      2404 |  31.188557 |  -5.208587 |
|      2634 |  31.256336 |  -0.279718 |
|       549 |  31.405649 | -52.555355 |
|       627 |   31.66692 | -49.754509 |
|       716 |  31.887394 | -46.963173 |
|       804 |  32.075439 | -44.182838 |
|       901 |  32.237759 | -41.413563 |
|      1001 |  32.379677 | -38.654083 |
|      1104 |  32.506187 | -35.901249 |
|      1198 |  32.626335 | -33.146584 |
|      1867 |  32.649197 | -17.269064 |
|      1659 |  32.658768 | -22.267317 |
|      2077 |  32.706894 |  -12.41548 |
|      2288 |  32.763504 |  -7.570205 |
|      1321 |  32.782066 |  -30.35284 |
|      2526 |  32.812778 |  -2.687974 |
|      2748 |  32.857983 |   2.264673 |
|      1439 |  33.397766 |  -27.29273 |
|      1774 |  34.304131 | -19.534538 |
|      1980 |  34.334267 |  -14.73361 |
|      2196 |  34.366066 |  -9.930333 |
|      2412 |  34.393394 |  -5.090329 |
|      2646 |  34.417175 |  -0.187357 |
|      1556 |  34.428577 | -24.589401 |
|       501 |  35.999969 | -54.054386 |
|       925 |  35.999969 | -40.103664 |
|      1026 |  35.999969 | -37.345448 |
|      1131 |  35.999969 | -34.591812 |
|      1239 |  35.999969 | -31.829926 |
|      1456 |  35.999969 | -26.565016 |
|      2301 |  35.999969 |  -7.498127 |
|      2759 |  35.999969 |   2.308103 |
|       364 |  36.000027 | -59.692635 |
|       429 |  36.000027 | -56.872421 |
|       575 |  36.000027 |  -51.24271 |
|       656 |  36.000027 | -48.440544 |
|       740 |  36.000027 | -45.649899 |
|       828 |  36.000027 | -42.871223 |
|      1344 |  36.000027 | -28.996477 |
|      1676 |  36.000027 | -21.837885 |
|      1886 |  36.000027 | -17.080502 |
|      2094 |  36.000027 | -12.307019 |
|      2530 |  36.000027 |  -2.635033 |
|      1552 |  37.571423 | -24.589401 |
|      2642 |  37.582825 |  -0.187357 |
|      2416 |  37.606602 |  -5.090329 |
|      2190 |   37.63393 |   -9.93039 |
|      1978 |  37.665787 |  -14.73361 |
|      1770 |  37.695866 | -19.534538 |
|      1441 |   38.60223 | -27.292673 |
|      2752 |  39.142014 |    2.26473 |
|      2519 |  39.187279 |  -2.688031 |
|      1313 |  39.217987 | -30.352955 |
|      2294 |  39.236492 |  -7.570205 |
|      2079 |  39.293102 |  -12.41548 |
|      1661 |  39.341171 |  -22.26726 |
|      1869 |    39.3508 | -17.269064 |
|      1202 |  39.373661 | -33.146584 |
|      1106 |  39.493809 | -35.901249 |
|       999 |  39.620377 | -38.654083 |
|       899 |  39.762241 |  -41.41362 |
|       800 |  39.924618 | -44.182838 |
|       714 |  40.112602 | -46.963173 |
|       629 |  40.333076 | -49.754509 |
|       551 |  40.594345 | -52.555355 |
|      2628 |   40.74366 |  -0.279775 |
|      2406 |   40.81144 |   -5.20853 |
|      2176 |  40.886612 | -10.096949 |
|       468 |   40.90781 | -55.362965 |
|      1534 |  40.961842 | -25.018776 |
|      1960 |  40.965908 | -14.992759 |
|      1756 |  41.010372 | -19.985971 |
|       406 |  41.287739 | -58.173092 |
|      1407 |  41.676491 | -28.079058 |
|       339 |  41.752983 | -60.981159 |
|      2742 |  42.277466 |   2.141029 |
|      1287 |  42.333618 | -31.161858 |
|      2516 |  42.362377 |  -2.836428 |
|      2286 |  42.452164 |  -7.766615 |
|      2052 |  42.547729 | -12.697604 |
|      1851 |  42.626858 | -17.696432 |
|      1631 |  42.699566 | -22.717089 |
|      1176 |  42.715435 | -34.079071 |
|      1066 |  43.015896 |     -36.91 |
|       953 |  43.309193 | -39.706947 |
|       855 |  43.624779 | -42.492844 |
|      2626 |  43.892178 |  -0.449543 |
|      1504 |  43.964199 | -25.698246 |
|       774 |  43.979267 | -45.277874 |
|      2396 |  43.994736 |  -5.419894 |
|      2164 |  44.102451 | -10.381766 |
|      1936 |  44.205242 | -15.390047 |
|      1726 |   44.32436 | -20.411678 |
|       686 |  44.386982 | -48.066574 |
|      1371 |  44.714828 | -28.778582 |
|       591 |  44.863972 | -50.859802 |
|      2736 |  45.402836 |   1.953213 |
|       503 |  45.429882 |  -53.65612 |
|      1232 |  45.464256 |  -31.85038 |
|      2498 |   45.51823 |  -3.055527 |
|      2276 |  45.635513 |  -8.045473 |
|      2044 |  45.754002 | -13.065099 |
|      1593 |  45.824593 | -23.300648 |
|      1816 |   45.89856 | -18.092115 |
|      1126 |  46.042259 | -34.820019 |
|       435 |  46.109409 |  -56.45187 |
|      1017 |   46.54377 | -37.709217 |
|       374 |  46.934067 | -59.242233 |
|      1460 |  46.947018 | -26.341562 |
|      2614 |  47.025566 |  -0.674371 |
|       913 |  47.034851 | -40.550571 |
|      2381 |   47.15139 |  -5.690044 |
|      2152 |  47.279903 |  -10.72153 |
|      1918 |  47.438499 | -15.756282 |
|      1692 |   47.49419 | -20.916912 |
|       826 |  47.555153 | -43.366489 |
|      1339 |   47.78273 | -29.407574 |
|       314 |  47.944534 | -62.021133 |
|       736 |  48.132751 |   -46.1698 |
|      2718 |  48.518925 |   1.720993 |
|      1226 |  48.637756 | -32.459091 |
|      2496 |  48.653801 |   -3.31754 |
|      2266 |  48.788673 |  -8.360543 |
|       651 |  48.792973 | -48.966518 |
|      1570 |  48.859837 | -23.881397 |
|      2030 |    48.9534 | -13.403889 |
|      1800 |  49.073605 | -18.536732 |
|      1116 |  49.388618 | -35.441624 |
|       563 |  49.563026 | -51.758312 |
|      1445 |   49.95911 | -26.923744 |
|      1011 |  50.088943 | -38.359009 |
|      2606 |  50.145782 |    -0.9314 |
|      2372 |  50.285412 |  -5.984258 |
|      2140 |   50.45031 | -11.035912 |
|       492 |  50.475636 | -54.543175 |
|      1678 |  50.574123 | -21.430054 |
|      1912 |  50.603062 | -16.152023 |
|       909 |  50.791676 |  -41.22821 |
|      1331 |  50.892059 | -29.966267 |
|       816 |  51.538185 | -44.064808 |
|       422 |  51.570385 | -57.316635 |
|      2714 |  51.629856 |   1.464136 |
|      2486 |  51.774185 |  -3.595711 |
|      1214 |   51.85881 | -32.991997 |
|      1566 |  51.879093 | -24.415794 |
|      2248 |  51.935532 |  -8.654298 |
|      2024 |  52.102089 |  -13.75941 |
|      1788 |  52.174625 | -18.988165 |
|       720 |  52.364445 | -46.879463 |
|      1094 |  52.770733 | -35.966854 |
|       357 |  52.896553 |  -60.07222 |
|      1427 |  53.009136 |  -27.43895 |
|      2590 |  53.258549 |  -1.199544 |
|       641 |  53.305874 | -49.677334 |
|      2366 |  53.414276 |  -6.262085 |
|      2134 |  53.583241 | -11.358201 |
|      1665 |  53.615273 | -21.910364 |
|       985 |   53.66357 | -38.889225 |
|      1906 |  53.709351 |  -16.55023 |
|      1309 |  54.044762 | -30.452707 |
|       555 |  54.401482 | -52.459099 |
|       885 |  54.581795 | -41.767365 |
|      2700 |  54.741421 |   1.199544 |
|      2472 |   54.89119 |  -3.863741 |
|      1546 |  54.911186 | -24.889288 |
|      2246 |  55.055229 |  -8.950002 |
|      1188 |  55.127193 | -33.448017 |
|      2016 |  55.206203 | -14.112409 |
|      1782 |  55.233131 | -19.413815 |
|       794 |  55.566708 | -44.610321 |
|       480 |  55.696827 | -55.221386 |
|      1419 |  56.098125 | -27.883564 |
|      1082 |  56.193752 | -36.402588 |
|      2586 |   56.37011 |  -1.464079 |
|      2354 |  56.525208 |  -6.538079 |
|      1649 |  56.648739 | -22.338078 |
|       698 |   56.65934 | -47.424461 |
|      2126 |  56.682945 | -11.673499 |
|      1896 |  56.777596 | -16.924887 |
|      1297 |  57.239513 | -30.864147 |
|       414 |  57.245819 | -57.958061 |
|       975 |  57.273376 | -39.313728 |
|      2694 |   57.85424 |   0.931457 |
|       621 |  57.903858 | -50.212189 |
|      1522 |  57.966827 | -25.294598 |
|      2460 |  57.999084 |  -4.126786 |
|      2236 |  58.152122 |  -9.234647 |
|      1766 |   58.27359 |   -19.7934 |
|      1999 |  58.279434 | -14.441516 |
|       872 |  58.406513 | -42.184589 |
|      1178 |  58.439747 | -33.824734 |
|       343 |  59.114407 | -60.661049 |
|      1401 |  59.224644 | -28.254152 |
|       541 |  59.349777 | -52.971668 |
|      2574 |  59.481098 |  -1.720993 |
|      2344 |  59.623249 |  -6.798889 |
|       778 |  59.634995 | -45.019127 |
|      1070 |  59.656879 | -36.750832 |
|      1635 |  59.690399 | -22.701906 |
|      2116 |  59.759956 | -11.963015 |
|      1875 |  59.825504 | -17.257145 |
|      1277 |  60.473003 | -31.197781 |
|       963 |  60.918304 | -39.639111 |
|      2686 |   60.97451 |   0.674429 |
|       688 |  61.004536 | -47.819229 |
|      1516 |  61.049282 | -25.626682 |
|       462 |   61.05381 | -55.697227 |
|      2456 |  61.103313 |   -4.37035 |
|      2224 |  61.234863 |  -9.490759 |
|      1744 |  61.311756 | -20.113398 |
|      1990 |  61.334675 | -14.729255 |
|      1165 |   61.79155 | -34.120152 |
|       871 |  62.263496 | -42.489803 |
|      1386 |   62.38485 | -28.547394 |
|       607 |  62.566246 | -50.583408 |
|      2566 |   62.59713 |  -1.953156 |
|      2336 |  62.715504 |  -7.027557 |
|      1617 |  62.747185 | -22.994057 |
|      2102 |  62.824135 | -12.210304 |
|      1855 |  62.866074 | -17.532452 |
|       392 |  63.081566 | -58.380329 |
|      1050 |  63.155361 | -37.011814 |
|       766 |  63.736568 | -45.302799 |
|      1269 |  63.739948 | -31.450914 |
|      2674 |  64.107849 |     0.4496 |
|      1488 |  64.156891 |  -25.88102 |
|      2444 |  64.209831 |  -4.576901 |
|      2216 |   64.31102 |  -9.702295 |
