       snid   sim_redshift_host   hostgal_specz   hostgal_photoz   sim_dlmu   calc_mu   deltamu  
       2193              1.2154          1.2154           1.0442    45.5862   44.6244   -0.9618  
       4979              0.9158          0.9158           0.8820    38.5056   43.8644    5.3588  
       5205              0.6471          0.6471           0.6942    45.8660   42.9387   -2.9273  
      12119              0.3026          0.3026           0.2956    47.2304   40.9770   -6.2534  
      14339              0.0360          0.0288           0.0490    35.5005   35.9991    0.4986  
      23248              0.9571          0.9571           1.2693    47.1325   43.9827   -3.1498  
      23615              0.8746          0.8746           0.8466    45.5422   43.7410   -1.8012  
      23879              0.5327          0.5327           0.5530    44.7778   42.4266   -2.3512  
      24138              0.0228          0.0338           0.0371    35.7158   34.9860   -0.7298  
      25867              0.4363          0.4363           0.4565    45.7974   41.9078   -3.8896  
      26580              0.4315          0.4315           0.4320    46.8248   41.8793   -4.9455  
      26598              0.7828          0.7828           0.7570    46.9528   43.4444   -3.5084  
      27508              0.9904          0.9904           0.9967    40.2234   44.0744    3.8510  
      28289              0.5106          0.5106           0.4220    44.5010   42.3158   -2.1852  
      33186              0.1980          0.1980           0.2011    46.7280   39.9324   -6.7956  
      33920              0.0230          0.0336           0.0344    35.7611   35.0053   -0.7558  
      45161              0.2597          0.2597           0.4331    47.2040   40.5966   -6.6074  
      49829              0.0823          0.0947           0.1091    38.1972   37.8661   -0.3311  
      50521              0.5679          0.5679           0.4149    44.6292   42.5945   -2.0347  
      58138              0.0776          0.0650           0.1027    37.3167   37.7314    0.4147  
      65268              1.2817          1.2817           1.4055    47.1258   44.7669   -2.3589  
      66821              0.5586          0.5586           0.5120    38.4788   42.5511    4.0723  
      69271              0.5910          0.5910           0.5880    46.3059   42.6991   -3.6068  
      70123              2.4909          2.4909           2.5385    43.8251   46.5381    2.7130  
      70546              0.8440          0.8440           0.8058    47.0908   43.6456   -3.4452  
      71073              0.3097          0.3097           0.5252    47.3857   41.0351   -6.3506  
      75221              0.0500          0.0629           0.0667    37.2299   36.7346   -0.4953  
      75638              0.3466          0.3466           0.3255    46.3301   41.3193   -5.0108  
      75822              0.6855          0.6855           0.7441    46.6966   43.0912   -3.6054  
      82560              0.2503          0.2503           0.3223    44.5584   40.5050   -4.0534  
      85098              0.9039          0.9039           0.9534    41.6522   43.8292    2.1770  
      88484              0.3412          0.3412           0.3782    47.1564   41.2797   -5.8767  
      90694              0.0235          0.0322           0.0365    36.0107   35.0528   -0.9579  
      91672              1.4694          1.4694           1.3935    46.0245   45.1337   -0.8908  
      92155              0.6609          0.6609           0.6350    44.9054   42.9946   -1.9108  
      92678              0.5354          0.5354           0.5410    45.0531   42.4399   -2.6132  
      93350              0.0442          0.0562           0.0859    36.9950   36.4577   -0.5373  
      95302              0.5037          0.5037           0.5611    47.3261   42.2801   -5.0460  
      96332              0.6294          0.6294           0.6667    47.3966   42.8651   -4.5315  
      97567              0.6336          0.6336           0.6310    47.4109   42.8827   -4.5282  
     103095              0.2508          0.2508           0.2915    44.8995   40.5097   -4.3898  
     103129              0.6822          0.6822           0.6119    44.4228   43.0784   -1.3444  
     103568              1.0318          1.0318           1.0239    46.6785   44.1842   -2.4943  
     107206              1.0991          1.0991           1.0694    45.6419   44.3540   -1.2879  
     112297              0.0352          0.0265           0.0702    35.4405   35.9491    0.5086  
     112909              0.0511          0.0617           0.0895    37.2231   36.7836   -0.4395  
     116564              0.1717          0.1717           0.1725    46.9348   39.5881   -7.3467  
     124040              2.1319          2.1319           1.2632    44.1206   46.1268    2.0062  
     131791              0.8391          0.8391           0.8779    46.1857   43.6302   -2.5555  
     134012              0.9022          0.9022           0.8444    43.0502   43.8242    0.7740  
     137498              2.6121          2.6121           2.2775    39.7315   46.6632    6.9317  
     139813              0.3056          0.3056           0.1316    47.1019   41.0019   -6.1000  
     154364              1.6232          1.6232           1.7932    47.3959   45.4004   -1.9955  
     155911              0.0715          0.0824           0.0935    37.8950   37.5444   -0.3506  
     156197              0.9611          0.9611           0.9807    46.5551   43.9937   -2.5614  
     159958              1.6866          1.6866           1.6594    42.6258   45.5029    2.8771  
     161950              0.5865          0.5865           0.5639    46.5725   42.6790   -3.8935  
     162292              0.3305          0.3305           0.3543    46.1768   41.1986   -4.9782  
     163538              0.5106          0.5106           0.5348    47.1159   42.3157   -4.8002  
     163978              0.6286          0.6286           0.6196    45.9656   42.8618   -3.1038  
     164468              0.6550          0.6550           0.7144    44.7858   42.9705   -1.8153  
     170862              0.5618          0.5618           0.4723    43.7575   42.5658   -1.1917  
     172337              0.8095          0.8095           0.9765    42.5277   43.5340    1.0063  
     172399              1.0449          1.0449           1.1116    45.4963   44.2181   -1.2782  
     176764              0.8889          0.8889           0.8798    47.2612   43.7844   -3.4768  
     184596              0.0838          0.0980           0.1821    38.2399   37.9076   -0.3323  
     189689              0.3660          0.3660           0.3595    45.0139   41.4574   -3.5565  
     190572              0.5683          0.5683           0.5370    46.3214   42.5960   -3.7254  
     191672              1.5896          1.5896           1.8665    46.7711   45.3444   -1.4267  
     195337              0.7745          0.7745           0.7515    44.0792   43.4162   -0.6630  
     197046              0.1971          0.1971           0.1874    46.7973   39.9214   -6.8759  
     209335              0.0654          0.0767           2.1069    37.7145   37.3415   -0.3730  
     210831              1.2114          1.2114           1.2038    47.0635   44.6155   -2.4480  
     212763              0.8701          0.8701           0.8804    46.9930   43.7272   -3.2658  
     216196              0.6861          0.6861           0.7001    47.3663   43.0936   -4.2727  
     222345              0.3000          0.3000           0.2928    45.6204   40.9552   -4.6652  
     224419              1.0856          1.0856           1.0878    45.9381   44.3207   -1.6174  
     224610              0.6281          0.6281           0.6312    46.7236   42.8597   -3.8639  
     224927              0.6856          0.6856           0.6676    46.1906   43.0919   -3.0987  
     228322              1.6624          1.6624           1.8115    44.1365   45.4643    1.3278  
     236491              0.3027          0.3027           0.3011    46.1868   40.9777   -5.2091  
     239483              0.8162          0.8162           0.8048    44.5071   43.5561   -0.9510  
     241567              0.3091          0.3091           0.3559    47.2515   41.0304   -6.2211  
     243972              0.9356          0.9356           0.9268    45.5955   43.9216   -1.6739  
     247157              0.8653          0.8653           0.8970    44.6335   43.7122   -0.9213  
     247664              1.9787          1.9787           1.9339    47.2678   45.9287   -1.3391  
     254640              0.7525          0.7525           0.7634    45.0125   43.3392   -1.6733  
     262183              0.0801          0.0702           0.0683    37.4479   37.8040    0.3561  
     264104              1.6956          1.6956           1.5859    46.8731   45.5171   -1.3560  
     266183              0.6489          0.6489           0.6681    43.8781   42.9458   -0.9323  
     266795              0.9796          0.9796           1.3938    46.7805   44.0449   -2.7356  
     277802              0.6165          0.6165           0.6564    41.0674   42.8107    1.7433  
     278162              1.0432          1.0432           0.9751    47.3660   44.2138   -3.1522  
     278692              0.2899          0.2899           0.2810    45.6197   40.8697   -4.7500  
     286107              0.8424          0.8424           0.7951    42.5045   43.6407    1.1362  
     286927              1.3641          1.3641           1.5619    46.8255   44.9343   -1.8912  
     290577              0.3355          0.3355           0.4521    42.7087   41.2368   -1.4719  
     295210              1.1020          1.1020           1.0374    43.4696   44.3612    0.8916  
     303061              0.0559          0.0665           0.0630    37.3307   36.9860   -0.3447  
     304044              1.6905          1.6905           0.9307    46.6759   45.5091   -1.1668  
     304328              1.3182          1.3182           1.0697    44.0473   44.8425    0.7952  
     309099              0.0803          0.0967           0.0686    38.1440   37.8097   -0.3343  
     316024              0.0840          0.0961           0.1593    38.2783   37.9130   -0.3653  
     316187              0.4941          0.4941           0.4717    47.1212   42.2304   -4.8908  
     317167              1.9654          1.9654           1.9930    47.1907   45.9108   -1.2799  
     320092              0.6755          0.6755           0.6895    43.8831   43.0524   -0.8307  
     321264              0.3483          0.3483           0.3805    43.5360   41.3314   -2.2046  
     328610              0.3099          0.3099           0.2809    45.4730   41.0373   -4.4357  
     329022              0.0555          0.0453           0.0445    36.4626   36.9698    0.5072  
     335210              1.0165          1.0165           1.2941    41.9532   44.1440    2.1908  
     335422              0.0870          0.0997           0.0941    38.3245   37.9937   -0.3308  
     335808              1.4342          1.4342           1.3890    46.4317   45.0687   -1.3630  
     336048              0.0976          0.1140           0.0955    38.6589   38.2590   -0.3999  
     338622              0.9430          0.9430           0.9171    45.6854   43.9428   -1.7426  
    1292865              0.0556          0.0678           0.0938    37.3815   36.9738   -0.4077  
    1734667              0.0899          0.1036           0.0830    38.4430   38.0692   -0.3738  
    2735783              0.0396          0.0480           0.0854    36.7066   36.2118   -0.4948  
    3273316              2.3538          2.3538           2.2501    42.0512   46.3888    4.3376  
    3481972              0.5435          0.5435           0.5373    44.2485   42.4791   -1.7694  
    3632375              0.6525          0.6525           0.6677    43.8461   42.9604   -0.8857  
    4131199              0.4668          0.4668           0.5148    45.7878   42.0828   -3.7050  
    4293180              0.0785          0.0663           0.0922    37.3891   37.7578    0.3687  
    4353408              0.2525          0.2525           0.2525    41.5316   40.5268   -1.0048  
    4635785              0.3002          0.3002           0.2510    45.8390   40.9569   -4.8821  
    4979518              0.4091          0.4091           0.4578    46.9538   41.7423   -5.2115  
    5322344              0.7381          0.7381           0.7698    46.7529   43.2878   -3.4651  
    5393200              1.0661          1.0661           1.0366    39.5480   44.2722    4.7242  
    6271895              0.0573          0.0505           0.0705    36.5791   37.0419    0.4628  
    6376164              0.0299          0.0399           0.1057    36.3142   35.5862   -0.7280  
